Experiment,Dose_nM,Sample_ID,Response_Pct
P4,11,5,36.6761
P4,11,6,78.4902
P4,11,7,38.8243
P4,11,8,27.3213
P4,11,9,43.7655
P4,11,10,7.8399
P4,11,11,16.8401
P4,11,12,68.2474
P4,11,13,36.0036
P4,11,14,76.0371
P4,11,15,68.1044
P4,11,16,27.9761
P4,11,17,14.116
P4,11,18,13.5491
P4,11,19,55.4472
P4,11,20,49.1262
P4,11,21,37.709
P4,11,22,51.4452
P4,11,23,50.7472
P4,11,24,33.2893
P4,11,25,49.3395
P4,11,26,44.2201
P4,11,27,38.8387
P4,11,28,46.9892
P4,11,29,31.0858
P4,11,30,57.9663
P4,11,31,49.5275
P4,11,32,51.1644
P4,11,33,55.9433
P4,11,34,20.7625
P4,11,35,32.5927
P4,11,36,28.6588
P4,111,1,68.5846
P4,111,2,92.1341
P4,111,3,63.7576
P4,111,4,69.296
P4,111,5,73.973
P4,111,6,72.6535
P4,111,7,60.078
P4,111,8,67.6381
P4,111,9,75.7932
P4,111,10,70.6665
P4,111,11,85.5077
P4,111,12,74.3632
P4,111,13,83.7777
P4,111,14,85.3867
P4,111,15,78.1852
P4,111,16,73.7727
P4,111,17,80.0976
P4,111,18,62.2636
P4,111,19,62.4636
P4,111,20,66.9892
P4,111,21,93.393
P4,111,22,80.2588
P4,111,23,68.8867
P4,111,24,78.7108
P4,1111,1,100.0
P4,1111,2,100.0
P4,1111,3,100.0
P4,1111,4,100.0
P4,1111,5,100.0
P4,1111,6,100.0
P4,1111,7,100.0
P4,1111,8,100.0
P4,1111,9,100.0
P4,1111,10,100.0
P4,1111,11,100.0
P4,1111,12,100.0
P4,1111,13,100.0
P4,1111,14,100.0
P4,1111,15,100.0
P4,1111,16,100.0
P4,1111,17,100.0
P4,1111,18,100.0
P4,1111,19,100.0
P4,1111,20,100.0
P4,1111,21,100.0
P4,1111,22,100.0
P4,1111,23,100.0
P4,1111,24,100.0
P4,1111,25,100.0
P4,1111,26,100.0
P4,1111,27,100.0
P4,1111,28,100.0
P4,1111,29,100.0
P4,1111,30,100.0
P4,1111,31,100.0
P4,1111,32,100.0
P4,1111,33,100.0
P4,1111,34,100.0
P4,1111,35,100.0
P4,1111,36,100.0
P4,1111,37,100.0
P4,1111,38,100.0
P4,1111,39,100.0
P4,1111,40,100.0
